# Line list of the E ^4^{Pi} - A ^4^{Pi} transition of FeH, 
# Table 5 of Hargreaves et al., 2010, AJ, 140, 919
wavenumber,intensity,e_lower,einsteinA,j_lower,branch,omega
6251.8427734,2.413376e-19,2250.0,,,,
6251.5874023,5.740551e-20,2250.0,,,,
6251.4394531,1.162566e-19,2250.0,,,,
6251.3085938,9.644963999999999e-20,2250.0,,,,
6251.2250977,9.07821e-20,2250.0,,,,
6251.1450195,7.071801e-20,2250.0,,,,
6250.9433594,2.661351e-18,2250.0,,,,
6250.8500977,1.5479759999999998e-19,2250.0,,,,
6250.6733398,5.107103e-20,2250.0,,,,
6250.6323242,7.149981e-20,2250.0,,,,
6250.2104492,8.162481e-20,2250.0,,,,
6250.112793,6.198376e-20,2250.0,,,,
6250.065918,1.7507219999999998e-20,2250.0,,,,
6250.0463867,1.448075e-19,2250.0,,,,
6249.8398438,6.111635999999999e-20,2250.0,,,,
6249.6943359,9.673553999999999e-20,2250.0,,,,
6249.3618164,2.4765639999999996e-19,2250.0,,,,
6249.2758789,6.634112999999999e-20,2250.0,,,,
6249.1811523,1.1097519999999998e-19,2250.0,,,,
6248.972168,1.722082e-19,2250.0,,,,
6248.9233398,3.744385e-19,2250.0,,,,
6248.7563477,2.2168899999999997e-19,2250.0,,,,
6248.6621094,1.7212729999999998e-20,2250.0,,,,
6248.6425781,9.196184e-20,2250.0,,,,
6248.3720703,3.0495459999999996e-19,2250.0,,,,
6248.2832031,7.197932e-20,2250.0,,,,
6248.2070312,9.555543e-20,2250.0,,,,
6247.8818359,1.595684e-19,2250.0,,,,
6247.8256836,2.19138e-19,2250.0,,,,
6247.6499023,6.073864e-20,2250.0,,,,
6247.5634766,5.109044e-20,2250.0,,,,
6247.4667969,5.109104e-20,2250.0,,,,
6247.3842773,1.6770739999999998e-19,2250.0,,,,
6247.2709961,8.131229e-20,2250.0,,,,
6247.2290039,4.0895529999999997e-20,2250.0,,,,
6247.1894531,9.927048e-20,2250.0,,,,
6247.0893555,8.990668999999999e-20,2250.0,,,,
6246.5117188,2.3796859999999996e-19,2250.0,,,,
6246.4296875,1.6648599999999999e-19,2250.0,,,,
6246.3666992,1.3076219999999998e-19,2250.0,,,,
6246.2944336,1.8001259999999997e-19,2250.0,,,,
6246.2114258,4.091112e-19,2250.0,,,,
6246.1132812,2.7031499999999997e-19,2250.0,,,,
6245.8383789,8.781484e-20,2250.0,,,,
6245.6738281,7.161979e-20,2250.0,,,,
6245.4526367,2.635319e-19,2250.0,,,,
6245.3652344,3.492331e-19,2250.0,,,,
6245.215332,2.354632e-18,2250.0,,,,
6244.8618164,1.2924259999999999e-19,2250.0,,,,
6244.7001953,1.1668689999999998e-19,2250.0,,,,
6244.4262695,1.347036e-19,2250.0,,,,
6244.3759766,6.92267e-20,2250.0,,,,
6244.2861328,8.234870999999999e-20,2250.0,,,,
6244.2617188,2.7459299999999997e-20,2250.0,,,,
6244.2265625,7.139779e-20,2250.0,,,,
6243.9663086,2.16919e-19,2250.0,,,,
6243.7695312,8.640857e-20,2250.0,,,,
6243.6899414,6.940059999999999e-20,2250.0,,,,
6243.5019531,3.9904879999999996e-19,2250.0,,,,
6243.4482422,3.292392e-19,2250.0,,,,
6243.3491211,5.595516e-20,2250.0,,,,
6243.2060547,2.750811e-19,2250.0,,,,
6243.050293,9.541325e-20,2250.0,,,,
6242.7714844,7.105534999999999e-20,2250.0,,,,
6242.6181641,3.3611829999999995e-19,2250.0,,,,
6242.5517578,3.9273469999999996e-19,2250.0,,,,
6242.340332,5.55655e-20,2250.0,,,,
6242.3066406,9.389807999999999e-20,2250.0,,,,
6242.1928711,9.170994999999999e-20,2250.0,,,,
6242.0322266,5.152152999999999e-19,2250.0,,,,
6241.9995117,2.0955489999999999e-19,2250.0,,,,
6241.8608398,3.6613489999999995e-19,2250.0,,,,
6241.6508789,1.2562089999999998e-19,2250.0,,,,
6241.5908203,6.147262e-20,2250.0,,,,
6241.5698242,4.718364e-20,2250.0,,,,
6241.4711914,6.925619999999999e-20,2250.0,,,,
6241.3740234,9.215693999999999e-20,2250.0,,,,
6241.2783203,6.805256999999999e-19,2250.0,,,,
6241.1079102,3.015643e-18,2250.0,,,,
6241.0229492,4.0107499999999995e-19,2250.0,,,,
6240.5415039,8.212913e-20,2250.0,,,,
6240.3027344,3.5595179999999995e-19,2250.0,,,,
6240.215332,3.4500519999999997e-19,2250.0,,,,
6239.9833984,6.48714e-20,2250.0,,,,
6239.730957,7.578231e-20,2250.0,,,,
6239.2885742,3.879956e-19,2250.0,,,,
6238.949707,1.5427359999999998e-19,2250.0,,,,
6238.847168,5.285749e-20,2250.0,,,,
6238.6147461,6.468303e-19,2250.0,,,,
6238.4775391,2.010055e-19,2250.0,,,,
6238.3725586,2.0770929999999999e-19,2250.0,,,,
6238.2392578,1.5039919999999998e-19,2250.0,,,,
6238.1523438,1.34295e-19,2250.0,,,,
6238.1245117,1.1409759999999998e-19,2250.0,,,,
6238.0625,1.9882329999999998e-19,2250.0,,,,
6237.9233398,2.0442919999999998e-19,2250.0,,,,
6237.8310547,6.991934999999999e-20,2250.0,,,,
6237.6386719,2.3676730000000002e-18,2250.0,,,,
6237.5512695,2.0700789999999998e-19,2250.0,,,,
6237.0898438,3.14976e-19,2250.0,,,,
6237.0136719,1.753362e-18,2250.0,,,,
6236.8652344,5.777687e-20,2250.0,,,,
6236.5678711,2.25626e-19,2250.0,,,,
6236.4853516,7.286029999999999e-20,2250.0,,,,
6236.1000977,5.966277e-20,2250.0,,,,
6235.9741211,1.1028859999999999e-19,2250.0,,,,
6235.921875,7.279012e-20,2250.0,,,,
6235.6645508,4.414392999999999e-19,2250.0,,,,
6235.4853516,1.8546949999999998e-19,2250.0,,,,
6235.0942383,1.2043499999999998e-19,2250.0,,,,
6234.9145508,1.0745089999999999e-19,2250.0,,,,
6234.8701172,6.853961e-20,2250.0,,,,
6234.7426758,1.4408329999999998e-19,2250.0,,,,
6234.6616211,1.4140489999999999e-19,2250.0,,,,
6234.5307617,5.725511e-20,2250.0,,,,
6234.4228516,6.830565e-20,2250.0,,,,
6234.3037109,1.5930719999999998e-19,2250.0,,,,
6234.2270508,4.730216e-20,2250.0,,,,
6234.1606445,3.2723969999999996e-19,2250.0,,,,
6234.0927734,3.887037e-19,2250.0,,,,
6234.015625,1.9598459999999997e-19,2250.0,,,,
6233.9150391,7.315372999999999e-20,2250.0,,,,
6233.6503906,6.300829999999999e-20,2250.0,,,,
6233.5917969,7.388701999999999e-20,2250.0,,,,
6233.3046875,7.4286e-20,2250.0,,,,
6233.1362305,5.238839e-20,2250.0,,,,
6233.0219727,4.2246509999999995e-20,2250.0,,,,
6232.9941406,8.164429e-20,2250.0,,,,
