wavelength_micron,normalized_flux,err_normalized_flux
2.2929437,1.053035e+00,7.118000e-03
2.2929562,1.050801e+00,8.420000e-03
2.2929686,1.051361e+00,5.739000e-03
2.2929810,1.052603e+00,7.649000e-03
2.2929934,1.049162e+00,7.233000e-03
2.2930059,1.050815e+00,7.146000e-03
2.2930183,1.058287e+00,6.653000e-03
2.2930307,1.058227e+00,7.813000e-03
2.2930432,1.048045e+00,6.404000e-03
2.2930556,1.061407e+00,5.576000e-03
2.2930680,1.050814e+00,6.739000e-03
2.2930804,1.057183e+00,5.664000e-03
2.2930929,1.072679e+00,9.015000e-03
2.2931053,1.072426e+00,6.544000e-03
2.2931177,1.050827e+00,7.248000e-03
2.2931302,1.063935e+00,7.131000e-03
2.2931426,1.055555e+00,3.503000e-03
2.2931550,1.052946e+00,6.406000e-03
2.2931674,1.051330e+00,6.379000e-03
2.2931799,1.049470e+00,6.957000e-03
2.2931923,1.036013e+00,7.094000e-03
2.2932047,1.017247e+00,5.544000e-03
2.2932171,9.974140e-01,6.838000e-03
2.2932296,9.805250e-01,6.099000e-03
2.2932420,9.730490e-01,7.429000e-03
2.2932544,9.692050e-01,6.833000e-03
2.2932668,9.582530e-01,7.140000e-03
2.2932792,9.516120e-01,7.533000e-03
2.2932917,9.426880e-01,5.972000e-03
2.2933041,9.498670e-01,7.953000e-03
2.2933165,9.567900e-01,6.436000e-03
2.2933289,9.438370e-01,6.624000e-03
2.2933414,9.477100e-01,5.520000e-03
2.2933538,9.745150e-01,5.538000e-03
2.2933662,9.903720e-01,4.857000e-03
2.2933786,1.003316e+00,6.261000e-03
2.2933910,1.002064e+00,5.489000e-03
2.2934035,1.017395e+00,6.380000e-03
2.2934159,1.020401e+00,6.871000e-03
2.2934283,1.026131e+00,3.069000e-03
2.2934407,1.031241e+00,7.024000e-03
2.2934531,1.056024e+00,7.951000e-03
2.2934656,1.043698e+00,8.962000e-03
2.2934780,1.043056e+00,1.003900e-02
2.2934904,1.039449e+00,8.072000e-03
2.2935028,1.041695e+00,6.400000e-03
2.2935152,1.057529e+00,6.549000e-03
2.2935276,1.047555e+00,7.648000e-03
2.2935401,1.051254e+00,6.115000e-03
2.2935525,1.045980e+00,5.749000e-03
2.2935649,1.042478e+00,7.075000e-03
2.2935773,1.051459e+00,5.920000e-03
2.2935897,1.041853e+00,7.106000e-03
2.2936021,1.020561e+00,7.039000e-03
2.2936145,1.011544e+00,5.062000e-03
2.2936270,9.716010e-01,6.202000e-03
2.2936394,9.543550e-01,5.982000e-03
2.2936518,9.308590e-01,6.574000e-03
2.2936642,8.888360e-01,8.005000e-03
2.2936766,8.629220e-01,7.617000e-03
2.2936890,8.324120e-01,6.874000e-03
2.2937014,8.078650e-01,6.675000e-03
2.2937139,7.755560e-01,7.371000e-03
2.2937263,7.354780e-01,6.689000e-03
2.2937387,7.069600e-01,5.681000e-03
2.2937511,6.896080e-01,5.518000e-03
2.2937635,6.669730e-01,6.004000e-03
2.2937759,6.426210e-01,6.795000e-03
2.2937883,6.279990e-01,5.542000e-03
2.2938007,6.164280e-01,6.810000e-03
2.2938131,5.920440e-01,7.372000e-03
2.2938256,6.066670e-01,1.069200e-02
2.2938380,6.033150e-01,1.074800e-02
2.2938504,6.010060e-01,7.364000e-03
2.2938628,6.287900e-01,7.111000e-03
2.2938752,6.412390e-01,5.516000e-03
2.2938876,6.374360e-01,4.434000e-03
2.2939000,6.358960e-01,5.076000e-03
2.2939124,6.487920e-01,5.568000e-03
2.2939248,6.443410e-01,6.231000e-03
2.2939372,6.471590e-01,5.259000e-03
2.2939496,6.621240e-01,6.414000e-03
2.2939620,6.790020e-01,5.586000e-03
2.2939744,6.953560e-01,5.988000e-03
2.2939868,7.050270e-01,5.754000e-03
2.2939993,7.219410e-01,8.062000e-03
2.2940117,7.167720e-01,8.458000e-03
2.2940241,7.373320e-01,6.316000e-03
2.2940365,7.389020e-01,5.508000e-03
2.2940489,7.230800e-01,5.816000e-03
2.2940613,7.310690e-01,5.991000e-03
2.2940737,7.372880e-01,6.094000e-03
2.2940861,7.299390e-01,7.151000e-03
2.2940985,7.401900e-01,6.761000e-03
2.2941109,7.393650e-01,6.245000e-03
2.2941233,7.510040e-01,7.630000e-03
2.2941357,7.527190e-01,4.624000e-03
2.2941481,7.533590e-01,7.167000e-03
2.2941605,7.697680e-01,7.167000e-03
2.2941729,7.631310e-01,5.190000e-03
2.2941853,7.611830e-01,6.226000e-03
2.2941977,7.647970e-01,6.983000e-03
2.2942101,7.761680e-01,4.859000e-03
2.2942225,7.925040e-01,6.612000e-03
2.2942349,8.065180e-01,8.816000e-03
2.2942473,7.981970e-01,3.160000e-03
2.2942597,8.106850e-01,5.047000e-03
2.2942721,8.116360e-01,6.115000e-03
2.2942845,8.045510e-01,6.136000e-03
2.2942969,8.027530e-01,5.087000e-03
2.2943093,7.900850e-01,6.356000e-03
2.2943217,7.836610e-01,6.484000e-03
2.2943341,7.762430e-01,6.449000e-03
2.2943465,7.703980e-01,5.289000e-03
2.2943589,7.477580e-01,5.475000e-03
2.2943713,7.638670e-01,5.697000e-03
2.2943837,7.851300e-01,2.842000e-03
2.2943961,7.859350e-01,6.184000e-03
2.2944085,7.911510e-01,8.620000e-03
2.2944208,8.028200e-01,5.942000e-03
2.2944332,8.130830e-01,4.614000e-03
2.2944456,8.276770e-01,7.602000e-03
2.2944580,8.538040e-01,5.298000e-03
2.2944704,8.707610e-01,5.382000e-03
2.2944828,8.754830e-01,7.191000e-03
2.2944952,8.898170e-01,5.897000e-03
2.2945076,8.854750e-01,4.670000e-03
2.2945200,8.833170e-01,5.017000e-03
2.2945324,8.433260e-01,6.474000e-03
2.2945448,8.344940e-01,4.793000e-03
2.2945572,8.012030e-01,7.277000e-03
2.2945696,7.946040e-01,7.078000e-03
2.2945820,7.774910e-01,6.082000e-03
2.2945943,7.680600e-01,5.210000e-03
2.2946067,7.547010e-01,6.436000e-03
2.2946191,7.472750e-01,5.226000e-03
2.2946315,7.453610e-01,4.042000e-03
2.2946439,7.565000e-01,6.184000e-03
2.2946563,7.518620e-01,5.755000e-03
2.2946687,7.776710e-01,7.514000e-03
2.2946811,7.902290e-01,6.764000e-03
2.2946935,8.011840e-01,8.695000e-03
2.2947058,8.172330e-01,5.957000e-03
2.2947182,8.078340e-01,4.945000e-03
2.2947306,8.221030e-01,4.078000e-03
2.2947430,8.302210e-01,6.268000e-03
2.2947554,8.283170e-01,4.325000e-03
2.2947678,8.244110e-01,7.433000e-03
2.2947802,8.211740e-01,5.144000e-03
2.2947926,8.246570e-01,6.377000e-03
2.2948049,7.908850e-01,7.188000e-03
2.2948173,7.772430e-01,6.111000e-03
2.2948297,7.651650e-01,5.094000e-03
2.2948421,7.509560e-01,8.390000e-03
2.2948545,7.519490e-01,5.489000e-03
2.2948669,7.105160e-01,1.069300e-02
2.2948792,6.901710e-01,1.100500e-02
2.2948916,6.891420e-01,9.003000e-03
2.2949040,7.041430e-01,1.257100e-02
2.2949164,7.397070e-01,6.940000e-03
2.2949288,7.539280e-01,7.376000e-03
2.2949412,7.559870e-01,7.458000e-03
2.2949535,7.696400e-01,7.855000e-03
2.2949659,7.861010e-01,5.653000e-03
2.2949783,8.003060e-01,6.878000e-03
2.2949907,8.201840e-01,6.361000e-03
2.2950031,8.270290e-01,8.516000e-03
2.2950154,8.490070e-01,9.150000e-03
2.2950278,8.715810e-01,5.668000e-03
2.2950402,8.914750e-01,4.936000e-03
2.2950526,9.076880e-01,8.606000e-03
2.2950650,9.063070e-01,6.263000e-03
2.2950773,8.888060e-01,6.565000e-03
2.2950897,8.822900e-01,6.874000e-03
2.2951021,8.680360e-01,5.996000e-03
2.2951145,8.560010e-01,5.482000e-03
2.2951269,8.429600e-01,5.450000e-03
2.2951392,8.280130e-01,7.400000e-03
2.2951516,7.881380e-01,5.617000e-03
2.2951640,7.688300e-01,7.877000e-03
2.2951764,7.388130e-01,4.837000e-03
2.2951887,7.318270e-01,7.053000e-03
2.2952011,6.950960e-01,8.400000e-03
2.2952135,7.039160e-01,7.256000e-03
2.2952259,6.951200e-01,4.029000e-03
2.2952382,6.917680e-01,7.062000e-03
2.2952506,6.933280e-01,6.959000e-03
2.2952630,6.895140e-01,5.824000e-03
2.2952754,6.795570e-01,7.307000e-03
2.2952877,6.880760e-01,6.245000e-03
2.2953001,7.038190e-01,4.555000e-03
2.2953125,7.036660e-01,8.136000e-03
2.2953249,7.156180e-01,1.006000e-02
2.2953372,7.503760e-01,5.916000e-03
2.2953496,7.672950e-01,4.956000e-03
2.2953620,7.982940e-01,4.358000e-03
2.2953743,8.076320e-01,4.884000e-03
2.2953867,8.358300e-01,5.424000e-03
2.2953991,8.414200e-01,4.897000e-03
2.2954115,8.586900e-01,5.629000e-03
2.2954238,8.627250e-01,6.547000e-03
